time,open,high,low,close,volumeto,coin
2024-03-12,4064.8,4093.92,3828.98,3979.96,632787.3941,eth
2024-03-13,3979.97,4083.0,3932.23,4004.79,482305.7766,eth
2024-03-14,4004.79,4010.98,3723.0,3881.7,648237.5245,eth
2024-03-15,3881.69,3934.02,3570.0,3742.19,947537.4071,eth
2024-03-16,3742.19,3781.12,3468.8,3523.09,548288.1569,eth
2024-03-17,3523.09,3678.68,3412.0,3644.71,517790.9936,eth
2024-03-18,3644.7,3645.02,3454.09,3520.46,570901.2851,eth
2024-03-19,3520.47,3548.09,3150.88,3158.64,1049629.6936,eth
2024-03-20,3158.65,3535.24,3056.56,3516.53,1207322.8201,eth
2024-03-21,3516.53,3587.32,3412.0,3492.85,602755.2072,eth
2024-03-22,3492.84,3542.52,3250.0,3336.35,558848.888,eth
2024-03-23,3336.35,3435.48,3270.08,3329.53,323675.9448,eth
2024-03-24,3329.53,3471.22,3298.76,3454.98,260824.1408,eth
2024-03-25,3454.99,3666.0,3420.12,3590.42,548577.6942,eth
2024-03-26,3590.43,3678.86,3542.62,3587.33,499013.8384,eth
2024-03-27,3587.32,3665.84,3460.02,3501.19,443195.3297,eth
2024-03-28,3501.2,3611.78,3465.0,3560.49,404654.0311,eth
2024-03-29,3560.49,3584.37,3445.91,3509.74,323086.179,eth
2024-03-30,3509.74,3565.81,3485.0,3505.64,216025.2634,eth
2024-03-31,3505.65,3655.32,3505.09,3645.29,243464.9877,eth
